Partition  1: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition  2: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition  3: beta=2 || solution energy: -23.0 || number of edges in solution: 0 || solution size: 23
Partition  4: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition  5: beta=2 || solution energy: -24.0 || number of edges in solution: 0 || solution size: 24
Partition  6: beta=2 || solution energy: -23.0 || number of edges in solution: 0 || solution size: 23
Partition  7: beta=2 || solution energy: -23.0 || number of edges in solution: 0 || solution size: 23
Partition  8: beta=2 || solution energy: -24.0 || number of edges in solution: 0 || solution size: 24
Partition  9: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 10: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 11: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 12: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 13: beta=2 || solution energy: -24.0 || number of edges in solution: 0 || solution size: 24
Partition 14: beta=2 || solution energy: -23.0 || number of edges in solution: 0 || solution size: 23
Partition 15: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 16: beta=2 || solution energy: -23.0 || number of edges in solution: 0 || solution size: 23
Partition 17: beta=2 || solution energy: -23.0 || number of edges in solution: 0 || solution size: 23
Partition 18: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 19: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 20: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 21: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 22: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 23: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 24: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 25: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 26: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 27: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 28: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 29: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 30: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 31: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 32: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 33: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Partition 34: beta=2 || solution energy: -22.0 || number of edges in solution: 0 || solution size: 22
Best result: beta=2 || best solution energy: -24.0 || number of edges in best solution: 0 || best solution size: 24
